protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;11;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;12;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;13;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;14;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;15;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;16;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;17;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;18;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;19;0.0;0.0;;;;;0.0;0.0;;;;
coap;eth;;1024;d2;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1950392;1760464698;1760467760;20;0.0;0.0;;;;;0.0;0.0;;;;
