protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;repeats;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;0;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;1;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;2;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;3;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;4;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;5;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;6;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;7;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;8;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;9;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;10;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;11;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;12;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;13;0.0;0.0;;;;;0.0;0.0;;;;
https;eth;;1024;d1;cbor;dns_message;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;2;1062550;1760719195;1760745991;14;0.0;0.0;;;;;0.0;0.0;;;;
