protocol;link_layer;link_layer_mode;blocksize;network_setup;data_format;dns_format;randiv_pad;vector_type;classifier;classifier_args;job_id;start;stop;feature;accuracy_mean;accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;balanced_accuracy_mean;balanced_accuracy_std;roc_auc_mean;roc_auc_std
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;0;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;1;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;2;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;3;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;4;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;5;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;6;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;7;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;8;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;9;0.0;0.0;;;;;0.0;0.0;;;;
oscore;eth;;1024;p1;json;dns_cbor;0;binvec;rf;n_estimators=250,max_depth=9,random_state=1633250459;1041056;1760491864;1760495410;10;0.0;0.0;;;;;0.0;0.0;;;;
